CodigoVenda,CodigoProduto,Descricao,Quantidade,ValorUnitario,ValorTotal
97,1295,LIXA MASSA MADEIRA GR180 225X275 - WORKER,1.0,0.757,0.757
97,2041,LIXA MASSA MADEIRA GR100 225X275 - WORKER,1.0,0.96,0.96
98,1038,"TELHA  ANDULADA  FS 2,44 X 1,10 X 5MM",9.0,60.9,548.1
98,1862,VENEZIANA CORRER 4FL C/G 1200X1000,1.0,322.0,322.0
99,769,PARAFUSO PARA VASO BUCHA 12 LATONADO,4.0,3.906,15.624
99,182,ANEL VEDACAO P/ BACIA SANIT C/ GUIA,2.0,9.0,18.0
99,638,ARGAMASSA USICAL - INTERNO - AC I 20KG,2.0,14.69,29.38
100,2071,CABO DE CAVADERA,2.0,12.65,25.3
101,1724,THINNER 900ML  BRASILUX,1.0,14.88,14.88
102,923,LAPIS CARPINTEIRO AZUL - IRWIN,2.0,2.52,5.04
102,334,LIXA DISCO 115MMX24,1.0,7.82,7.82
102,335,LIXA DISCO 115MMX80,2.0,6.64,13.28
103,181,ALICATE UNIVERSAL 8 POLIDO CABO PVC,1.0,24.667,24.667
103,341,LIXA FERRO 36,5.0,5.2186,26.093
103,2043,LIXA MASSA MADEIRA GR220 225X275 - WORKER,25.0,0.6984,17.46
104,1489,TUBOZAN ANEL ESGOTO 100,1.0,4.714,4.714
104,1518,TUBOZAN CAP ESGOTO 100,1.0,12.862,12.862
105,966,SIFAO SANFONADO UNIVERSAL BR - HERC,1.0,5.25,5.25
105,1144,AMANCO JOELHO 90 ANEL LAB ESG SN DN40X38 CB,1.0,15.45,15.45
106,46,ESPUMA EXPANSIVA 430ML 280G MUNDIAL PRIM,1.0,32.175,32.175
108,549,VALV AMER ACO INOX 3.1/2 VAP,1.0,23.0,23.0
109,966,SIFAO SANFONADO UNIVERSAL BR - HERC,1.0,5.063,5.063
110,1277,DISCO DIAMANTADO TURBO 110X20MM - KALA,5.0,18.5,92.5
