CodigoVenda,CodigoProduto,Descricao,Quantidade,ValorUnitario,ValorTotal
1189,939,PARAF MAD PHIL CHATA CHIP 5;0X50MM % - CISER,10.0,0.543,5.43
1189,1071,REFLETOR LED SLIM30 BIV2250,1.0,43.09,43.09
1191,722,CIMENTO ITAU 50KG,3.0,45.9,137.7
1191,805,PREGO C/CABECA 17X27,1.0,25.84,25.84
1191,2187,"DOBRADICA ENC POLIDA 3.1/2"" FP SCHILD",2.0,21.563,43.13
1192,1834,ATLAS TORNEIRA BOIA PLA UNIV 1/2 E 3/4,3.0,22.01,66.03
1192,190,BOIA P/ CX D AGUA 1/2 E 3/4,3.0,9.942,29.83
1192,218,BUCHA ROSC. RED. 3/4X1/2,6.0,1.513,9.08
1193,1524,TUBOZAN JOELHO 90 ESGOTO 100,1.0,14.23,14.23
1194,69,ATLAS ROLO DE PINTURA ANTIGOTA POLIAMIDA 23CM,1.0,29.0,29.0
1194,88,GARFO DE PINTURA GAIOLA S/ROSCA ACO 23CM,1.0,16.0,16.0
1194,900,CORANTE LIQUIDO AZUL - CHEMICOLOR,1.0,4.75,4.75
1195,767,PARAFUSO PARA VASO BUCHA 08 LATONADO,4.0,2.134,8.54
1196,638,ARGAMASSA USICAL - INTERNO - AC I 20KG,4.0,17.75,71.0
1197,1038,"TELHA  ONDULADA  FS 2,44 X 1,10 X 5MM",1.0,64.81,64.81
1198,98,ATLAS FITA ISOLANTE 5M,1.0,3.2,3.2
1199,69,ATLAS ROLO DE PINTURA ANTIGOTA POLIAMIDA 23CM,1.0,28.6,28.6
1199,88,GARFO DE PINTURA GAIOLA S/ROSCA ACO 23CM,1.0,15.82,15.82
1200,1107,AMANCO CAP SOLD 20MM CB,1.0,4.25,4.25
1200,720,MAX COLLOR SELADOR ACRI 16LT PREMIUM,2.0,79.9,159.8
1200,805,PREGO C/CABECA 17X27,1.0,26.0,26.0
1200,69,ATLAS ROLO DE PINTURA ANTIGOTA POLIAMIDA 23CM,1.0,29.0,29.0
1200,88,GARFO DE PINTURA GAIOLA S/ROSCA ACO 23CM,1.0,16.0,16.0
1201,665,"TINTA ESMALTE IMOB BRANCO 3,6LT",1.0,79.9,79.9
1202,1330,SERRA CIRCULAR 110MMX24DTSX20MM - KALA,1.0,24.06,24.06
1203,1499,TUBOZAN TUBO ESGOTO 100 SN 6M,1.0,92.2,92.2
1203,46,ESPUMA EXPANSIVA 430ML 280G MUNDIAL PRIM,1.0,32.8,32.8
1204,268,DISCO DE CORTE 9X1/8X7/8,1.0,14.6,14.6
1205,635,CAL HIDRATADA CH III 20 KG,1.0,18.89,18.89
1206,2194,NUMERO COLONIAL PRETO/DOURADO N.0,1.0,7.2,7.2
1207,1537,TUBOZAN SIFAO SIMPLES BRANCO,1.0,11.8,11.8
1207,431,CADEADO PADO LT - 40MM,1.0,33.7,33.7
1208,711,TINTA P/ PISO FCO 18LT CINZA PREMIUM 180,1.0,229.97,229.97
1209,991,DISCO DIAMANTADO TURBO 180X25;4MM - KALA,1.0,61.0,61.0
1210,1900,CIVITT TORN ABS PAREDE BR GIR ALAV,1.0,49.88,49.88
1211,152,"FERRO 8MM 4,7KG 12MT",30.0,49.9,1497.0
1212,405,TORN. JARDIM 1/2  C/ADAP.3/4,2.0,5.0,10.0
1212,1643,TUBOZAN JOELHO 90 SOLD 50,3.0,9.667,29.0
1213,808,PREGO TELHEIRO 18X30 (500G),1.0,20.0,20.0
1214,1877,PINO ADAPTADOR TRIPLO,1.0,6.5,6.5
1215,1980,"PORC 80X80 CALACATA ORO POLIDO A (1,93MT)",1.93,102.07,197.0
1216,1401,BAKOF CAIXA DE GORDURA CESTO REMOVIVEL 18 LITROS,1.0,175.0,175.0
1220,882,MAXNORTH TINTA ECO BRANCO GELO 18LT,1.0,119.9,119.9
1220,2207,MULTMASSA TAPA FURO 90G,1.0,16.5,16.5
1221,267,DISCO DE CORTE INOX 115MMX4.1/2,1.0,3.28,3.28
1222,1403,TRELICA LEVE 6M (5.0MM X 3.4MM X 3.4MM),1.0,53.02,53.02
1222,2157,"DISCO DE CORTE FERRO 4.1/2""X 1.0MM MELFI",2.0,3.125,6.25
1222,1499,TUBOZAN TUBO ESGOTO 100 SN 6M,1.0,91.0,91.0
1222,800,ARAME RECOZIDO LISO 18,1.0,25.9,25.9
1223,1271,DISCO CORTE REFRAT 4.1/2 X1/8 X 7/8 - WORKER,1.0,8.8,8.8
1224,722,CIMENTO ITAU 50KG,5.0,45.334,226.67
1224,762,PEDRA BRITA N 1,4.0,147.658,590.63
1224,763,AREIA MEDIA,1.0,72.7,72.7
1225,1373,AMANCO JOELHO SOLD 90 25MM,1.0,1.16,1.16
1226,1879,TOMADA REGUA 3,1.0,13.5,13.5
1226,1880,TOMADA REGUA 4,1.0,15.5,15.5
1226,961,PLUGUE T 3 SAIDAS 3P 10A BR - DANEVA,1.0,16.5,16.5
1226,405,TORN. JARDIM 1/2  C/ADAP.3/4,1.0,5.0,5.0
1226,966,SIFAO SANFONADO UNIVERSAL BR - HERC,1.0,5.2,5.2
1226,1360,MANGUEIRA CJ.JARDIM VD ARQUA 20M,1.0,74.3,74.3
1227,154,"FERRO 10MM 7,4KG 12MT",35.0,68.3,2390.5
1227,152,"FERRO 8MM 4,7KG 12MT",60.0,46.4,2784.0
1227,153,"FERRO 4,2MM 1,3KG 12MT",85.0,16.55,1406.75
1227,800,ARAME RECOZIDO LISO 18,10.0,23.9,239.0
1228,99,ATLAS FITA ISOLANTE 10M,1.0,5.96,5.96
1228,956,PLUGUE FEMEA 2P 10A CZ - ILUMI,1.0,4.76,4.76
1231,961,PLUGUE T 3 SAIDAS 3P 10A BR - DANEVA,1.0,16.5,16.5
1232,1620,TUBOZAN REGISTRO PRESSAO SOLD 25 - MARROM,1.0,16.18,16.18
1232,897,CILINDRO FECHADURA SOPRANO ZCR - PILLER,1.0,32.82,32.82
1233,635,CAL HIDRATADA CH III 20 KG,12.0,18.89,226.68
1233,812,GESCALITE 5L,1.0,50.85,50.85
1234,1724,THINNER 900ML  BRASILUX,1.0,15.34,15.34
1235,525,DISJUNTOR DIN BR BIPOLAR C 20A SOPRANO,1.0,47.0,47.0
1235,1178,AMANCO ADESIVO PLAST BISN PL 75G,1.0,7.5,7.5
1235,1193,AMANCO FITA VEDA ROSCA 18MM X 10M,1.0,4.75,4.75
1235,98,ATLAS FITA ISOLANTE 5M,1.0,3.15,3.15
1235,1373,AMANCO JOELHO SOLD 90 25MM,2.0,1.125,2.25
1235,1132,AMANCO LUVA SOLD 25MM CB,2.0,2.15,4.3
1235,1189,AMANCO CAIXA  LUZ 4X2,2.0,3.123,6.25
1235,1521,TUBOZAN JOELHO 90 ESGOTO 40,1.0,2.9,2.9
1235,1522,TUBOZAN JOELHO 90 ESGOTO 50,1.0,5.2,5.2
1235,1379,AMANCO BUCHA RED ESGOTO 50X40MM,1.0,4.5,4.5
1235,1568,TUBOZAN TUBO SOLD 25 6M,1.0,23.0,23.0
1236,800,ARAME RECOZIDO LISO 18,2.0,25.83,51.66
1236,2072,CABO DE MARTELO,1.0,7.34,7.34
1237,800,ARAME RECOZIDO LISO 18,3.0,25.133,75.4
1238,1115,AMANCO JOELHO 45 ESG SN DN50 CB,1.0,11.02,11.02
1238,1266,CONEXAO MANG UNIAO 1/2 INTERNA AZUL - LIEGE,1.0,1.39,1.39
1239,1373,AMANCO JOELHO SOLD 90 25MM,16.0,1.125,18.0
1239,1092,AMANCO TE SOLD 25MM CB,12.0,2.9973,35.97
1239,1211,AMANCO RED EXC ESG SN DN100X50 CB,5.0,30.574,152.87
1239,1095,AMANCO TE SOLD BUCHA LATAO 25MMX3/4 CB,6.0,32.854,197.12
1239,1090,AMANCO JOELHO 90 SOLD BUCHA LATAO 25MMX1/2 CB,8.0,11.999,95.99
1239,1379,AMANCO BUCHA RED ESGOTO 50X40MM,4.0,4.5,18.0
1239,1195,AMANCO ADESIVO FRASCO PINCEL 175G,1.0,26.6,26.6
1239,1093,AMANCO TE ESG SN DN100 CB,3.0,31.574,94.72
1240,1611,TUBOZAN LUVA DE CORRER SOLD 25,1.0,24.0,24.0
1241,1172,AMANCO ASPERSOR DE BASE 8 JATOS LJ,1.0,26.25,26.25
1242,1036,"TELHA ONDULADA  FS 1,53 X 1,10 X 5MM",20.0,38.8025,776.05
1242,1038,"TELHA  ONDULADA  FS 2,44 X 1,10 X 5MM",6.0,59.75,358.5
1242,1040,"TELHA  ANDULADA FS 3,66 X 1,10 X 6MM",25.0,108.218,2705.45
1243,341,LIXA FERRO 36,8.0,5.0,40.0
1244,701,TINTA ESMALTE IMOB CINZA ESCURO 900ML,1.0,31.0,31.0
1245,444,CONDOR BLOCO DE ESPUMA 22X13X6CM,1.0,6.0,6.0
1246,1041,"TELHA  ANDULADA FS 3,05 X 1,10 X 6MM",24.0,93.9,2253.6
1246,24,PARAFUSO TELHA CISER C/VED 5/16X110MM,72.0,1.4,100.8
1247,399,TE SOLD 20MM,1.0,1.3,1.3
1247,316,KRONA JOELHO SOLD 90X20MM,1.0,1.0,1.0
1248,140,GARRAFAO TERMICO 5L AZUL INVICTA,2.0,55.0,110.0
1250,1659,AMANCO SIFAO EXTENSIVEL BR UNIV,1.0,13.21,13.21
1250,500,SIFAO SANF UNIV DUPLO BRANCO KRONA,1.0,18.95,18.95
1250,1521,TUBOZAN JOELHO 90 ESGOTO 40,2.0,2.89,5.78
1250,1534,TUBOZAN BUCHA REDUCAO ESGOTO 50 X 40,1.0,4.45,4.45
1250,1638,TUBOZAN LUVA ESGOTO 50,1.0,4.98,4.98
1250,722,CIMENTO ITAU 50KG,1.0,45.76,45.76
1250,1544,TUBOZAN VALVULA P/PIA,2.0,4.065,8.13
1250,1177,AMANCO ADESIVO PLAST BISN PL 17G,1.0,3.23,3.23
1250,1108,AMANCO CAP SOLD 25MM CB,1.0,4.27,4.27
1250,1058,AMANCO TUBO SOLD PB 25X6M,1.0,27.91,27.91
1250,1373,AMANCO JOELHO SOLD 90 25MM,5.0,1.126,5.63
1250,1092,AMANCO TE SOLD 25MM CB,1.0,2.99,2.99
1250,1132,AMANCO LUVA SOLD 25MM CB,2.0,2.145,4.29
1250,1375,AMANCO LUVA AZUL BUCHA LATAO 25MMX1/2,2.0,12.71,25.42
1251,718,MAX COLLOR MASSA ACRILICA 20KG,2.0,73.9,147.8
1252,1335,"TRELICA TG8L 6/4,2/4,2MM 12M",10.0,107.9,1079.0
1252,152,"FERRO 8MM 4,7KG 12MT",8.0,46.4,371.2
1254,760,TIJOLO 8 FUROS 9 X 17 X 17 CM,500.0,1.05782,528.91
1254,762,PEDRA BRITA N 1,1.0,149.19,149.19
1254,763,AREIA MEDIA,2.0,73.45,146.9
1255,1163,AMANCO JOELHO 90 ESG SN DN50 CB,3.0,7.6666667,23.0
1256,764,AREIA FINA,3.0,95.94,287.82
1257,720,MAX COLLOR SELADOR ACRI 16LT PREMIUM,1.0,79.9,79.9
1258,681,"TINTA ESMALTE IMOB CINZA ESCURO 3,6LT",4.0,82.197,328.79
1258,676,"TINTA ESMALTE IMOB CINZA MEDIO 3,6LT",1.0,82.2,82.2
1258,2085,THINNER 18 LITROS NATRIELLI,1.0,293.13,293.13
1258,266,DISCO DE CORTE FINO 178MMX1.6X22.2MM,12.0,14.74,176.88
1258,2276,ELETRODO P/ACO CARBONO 3.25MM,8.0,27.32,218.56
1258,2103,ADESIVO PU 40 CINZA 387G POLYFORT,3.0,23.51,70.53
1258,331,LINHA PEDREIRO FIO 0.8 100M LARANJA,1.0,20.01,20.01
1259,735,VASSOURA JARDIM PLAST 22D C/CB VAP,1.0,27.0,27.0
1260,663,BACIA SANIT. P/CX. ACOPL. PORTO BR,1.0,303.2,303.2
1260,664,CAIXA ACP PORTO 3/6L BR,1.0,303.2,303.2
1260,1059,AMANCO TUBO ESG SN DN 100X6M,1.0,103.4,103.4
1260,1858,PORTA LAMINADA 85 DIR,1.0,357.36,357.36
1260,1208,AMANCO JOELHO 90 ESG SN DN100 CB,1.0,13.21,13.21
1260,1058,AMANCO TUBO SOLD PB 25X6M,1.0,26.63,26.63
1260,1132,AMANCO LUVA SOLD 25MM CB,1.0,2.05,2.05
1260,502,ENGATE FLEX PLAST KRONA 50CM,1.0,9.39,9.39
1260,2153,"VALVULA PIA KRONA 7/8"" PLAST CURTA",1.0,3.22,3.22
1260,768,PARAFUSO PARA VASO BUCHA 10 LATONADO,2.0,2.235,4.47
1260,966,SIFAO SANFONADO UNIVERSAL BR - HERC,1.0,4.86,4.86
1260,17,CIVITT TORN ABS LAVAT BRANCA CRUZ,1.0,26.14,26.14
1260,3,ASTRA ASSENTO SOFT BRANCO,1.0,55.69,55.69
1260,1907,DECA COLUNA SANITARIA IZY BR,1.0,133.17,133.17
1260,1908,DECA LAVATORIO P/ COLUNA IZY BR,1.0,169.01,169.01
1262,722,CIMENTO ITAU 50KG,1.0,45.9,45.9
1263,649,REJUNTAMENTO USICAL - PRETO 1KG,2.0,9.69,19.38
1264,635,CAL HIDRATADA CH III 20 KG,1.0,18.89,18.89
1265,148,STARRETT TRENA DE BOLSO C/TRAVA 8M,1.0,59.0,59.0
1266,635,CAL HIDRATADA CH III 20 KG,5.0,18.89,94.45
1266,1858,PORTA LAMINADA 85 DIR,1.0,364.0,364.0
1266,722,CIMENTO ITAU 50KG,5.0,45.49,227.45
1266,760,TIJOLO 8 FUROS 9 X 17 X 17 CM,500.0,1.03,515.0
1266,762,PEDRA BRITA N 1,1.0,145.0,145.0
1266,763,AREIA MEDIA,1.0,70.0,70.0
1266,1038,"TELHA  ONDULADA  FS 2,44 X 1,10 X 5MM",5.0,61.9,309.5
1266,24,PARAFUSO TELHA CISER C/VED 5/16X110MM,15.0,1.4,21.0
1268,505,DISCO DIAMANTADO 110MM TURBO MELFI,1.0,16.0,16.0
1269,805,PREGO C/CABECA 17X27,2.0,21.9,43.8
1269,722,CIMENTO ITAU 50KG,30.0,45.0,1350.0
1269,763,AREIA MEDIA,12.0,69.0,828.0
1269,1568,TUBOZAN TUBO SOLD 25 6M,2.0,21.9,43.8
1269,800,ARAME RECOZIDO LISO 18,2.0,18.99,37.98
1269,635,CAL HIDRATADA CH III 20 KG,10.0,17.49,174.9
1269,760,TIJOLO 8 FUROS 9 X 17 X 17 CM,3000.0,0.92,2760.0
1269,1335,"TRELICA TG8L 6/4,2/4,2MM 12M",3.0,100.5,301.5
1269,1499,TUBOZAN TUBO ESGOTO 100 SN 6M,2.0,80.01,160.02
1270,805,PREGO C/CABECA 17X27,1.0,26.0,26.0
1271,1062,AMANCO ELETRODUTO CORRUGADO 20X50M,50.0,3.172,158.6
1272,635,CAL HIDRATADA CH III 20 KG,2.0,18.89,37.78
1273,805,PREGO C/CABECA 17X27,1.0,25.84,25.84
1273,354,LUVA SOLD 25MM,1.0,1.54,1.54
1273,46,ESPUMA EXPANSIVA 430ML 280G MUNDIAL PRIM,1.0,32.17,32.17
1273,1603,TUBOZAN TE REDUCAO SOLD 50 X 25,1.0,15.04,15.04
1273,1592,TUBOZAN ADAP. SOLD. C/ BOLSA ROSCA 50 X 1 1/2,2.0,7.566,15.13
1273,635,CAL HIDRATADA CH III 20 KG,1.0,18.89,18.89
1273,722,CIMENTO ITAU 50KG,1.0,45.49,45.49
1274,1232,BROCA ACO RAPIDO MM 6;00MM - WORKER,1.0,13.98,13.98
1274,741,ATLAS DISCO ABRASIVO FLAP 115MM G80 OX ALUMIN,1.0,11.94,11.94
1274,2157,"DISCO DE CORTE FERRO 4.1/2""X 1.0MM MELFI",3.0,3.15,9.45
1274,368,OCULOS PROT. LEOPARDO INCOLOR,1.0,8.11,8.11
1274,1299,MASCARA PFF2 SEM VALVULA - KALA/PLASTCOR,2.0,3.33,6.66
1276,139,GARFO P/ ROLO REF 1001 CONDOR,1.0,6.98,6.98
1276,69,ATLAS ROLO DE PINTURA ANTIGOTA POLIAMIDA 23CM,1.0,28.62,28.62
1277,805,PREGO C/CABECA 17X27,2.0,26.5,53.0
1278,1499,TUBOZAN TUBO ESGOTO 100 SN 6M,0.5,90.43,45.22
1278,152,"FERRO 8MM 4,7KG 12MT",3.0,46.9,140.7
1278,1404,COLUNA 8.0MM 4.2MM 28 EST - 7X14,1.0,129.9,129.9
1279,649,REJUNTAMENTO USICAL - PRETO 1KG,3.0,9.69,29.07
1280,605,SPRAY USE 400ML AZUL ESCURO,1.0,20.0,20.0
1281,701,TINTA ESMALTE IMOB CINZA ESCURO 900ML,1.0,31.0,31.0
1282,2292,PARAFUSO FLANGEADO PHILLIPS ZINC 4.2MM X 13MM,200.0,0.14,28.0
1283,1724,THINNER 900ML  BRASILUX,2.0,15.0,30.0
1285,1480,TINTA SPRAY USO GERAL PRETO FOSCO 350ML,1.0,17.5,17.5
1286,1360,MANGUEIRA CJ.JARDIM VD ARQUA 20M,1.0,74.0,74.0
1287,146,SILICONE USO GERAL TRANSP 50G UNIPEGA,1.0,9.5,9.5
1291,800,ARAME RECOZIDO LISO 18,1.0,25.5,25.5
1292,719,MAX COLLOR TEXTURA BCA 20KG,60.0,78.9,4734.0
1292,846,BRASIFLEX PAREDES LATA 18 KG-PRODUTO NAO PERIGOSO,2.0,259.9,519.8
1292,712,TINTA P/ PISO FCO 18LT CHUMBO PREMIUM 173,1.0,219.9,219.9
1292,924,LONA PRETA 4X100 40 KG - MAXILONA,32.0,2.088,66.82
1292,59,FITA CREPE USO GERAL 48MM X 50M ADERE,2.0,17.575,35.15
1292,65,ATLAS ROLO DE TEXTURA MEDIA ESPUMA 23CM,1.0,22.06,22.06
1293,1404,COLUNA 8.0MM 4.2MM 28 EST - 7X14,2.0,139.9,279.8
1294,635,CAL HIDRATADA CH III 20 KG,3.0,18.89,56.67
1295,331,LINHA PEDREIRO FIO 0.8 100M LARANJA,1.0,20.0,20.0
1297,1738,213 COTURNO ADVENT POLO TERRA 37,1.0,172.79,172.79
1297,102,"LIXEIRA RED C/PEDAL PLAST 13,5L",1.0,45.0,45.0
1297,438,CANTONEIRA MAO FRANC PESAD 50CM THOMPSON,2.0,28.994,57.99
1297,943,PARAF MAD PHIL CHATA CHIP 6;0X50MM % - CISER,6.0,0.757,4.54
1297,215,BUCHA PLAST 10MM,6.0,0.15,0.9
1299,74,GARFO PINTURA DE BUCHA S/ROSCA ACO 23CM,1.0,9.0,9.0
1299,65,ATLAS ROLO DE TEXTURA MEDIA ESPUMA 23CM,1.0,22.06,22.06
1299,887,MAXNORTH TEXTURA ACRIL ECO BC NEVE 20 KG CX,3.0,75.9,227.7
1299,2130,PAQUIMETRO PLAST 150MM / 6 954,1.0,14.0,14.0
1299,885,MAXNORTH TINTA ECO BRANCO NEVE 18LT,1.0,115.0,115.0
1299,900,CORANTE LIQUIDO AZUL - CHEMICOLOR,2.0,4.5,9.0
1299,907,CORANTE LIQUIDO VIOLETA - CHEMICOLOR,2.0,4.5,9.0
1300,59,FITA CREPE USO GERAL 48MM X 50M ADERE,2.0,18.135,36.27
1300,635,CAL HIDRATADA CH III 20 KG,5.0,18.516,92.58
1300,768,PARAFUSO PARA VASO BUCHA 10 LATONADO,2.0,2.35,4.7
1300,1535,ANEL VEDACAO P/ BACIA SANITARIA COM GUIA,1.0,16.33,16.33
1300,638,ARGAMASSA USICAL - INTERNO - AC I 20KG,10.0,17.898,178.98
1300,760,TIJOLO 8 FUROS 9 X 17 X 17 CM,1000.0,1.039,1039.0
1300,722,CIMENTO ITAU 50KG,10.0,44.991,449.91
1300,343,LONA PRETA 4X110 20KG.,32.0,1.323,42.34
1300,502,ENGATE FLEX PLAST KRONA 50CM,1.0,9.89,9.89
1301,152,"FERRO 8MM 4,7KG 12MT",22.0,46.9,1031.8
1301,153,"FERRO 4,2MM 1,3KG 12MT",10.0,15.9,159.0
1301,800,ARAME RECOZIDO LISO 18,5.0,21.9,109.5
1301,722,CIMENTO ITAU 50KG,20.0,45.9,918.0
1303,2203,"VEDALIT 3,6L",1.0,64.81,64.81
1303,722,CIMENTO ITAU 50KG,50.0,45.8552,2292.76
1303,635,CAL HIDRATADA CH III 20 KG,20.0,18.8715,377.43
1304,1163,AMANCO JOELHO 90 ESG SN DN50 CB,6.0,7.978,47.87
1304,1378,AMANCO TE ESGOTO 50X50MM,1.0,24.93,24.93
1304,1057,AMANCO TUBO ESG SN DN 75X6M,1.0,111.7,111.7
1304,1971,AMANCO RED EXC ESG SN DN75X50 CB,1.0,22.94,22.94
1304,1525,TUBOZAN TE REDUCAO ESGOTO 75 X 50,1.0,29.42,29.42
1304,1094,AMANCO LUVA SIMP ESG SN DN100 CB,1.0,10.22,10.22
1304,1663,AMANCO LUVA SIMP ESG SN DN75 CB,2.0,16.46,32.92
1305,460,"CORALAR ESM SINT BR 0,9L PRETO",1.0,34.0,34.0
1306,1538,TUBOZAN SIFAO DUPLO BRANCO COM ANEL,1.0,21.48,21.48
1306,1960,KRONA TORN JARDIM PLAST 1/2 3/4 PRETA,2.0,4.375,8.75
1306,900,CORANTE LIQUIDO AZUL - CHEMICOLOR,2.0,4.845,9.69
1306,906,CORANTE LIQUIDO VERMELHO - CHEMICOLOR,2.0,4.845,9.69
1306,899,CORANTE LIQUIDO AMARELO - CHEMICOLOR,2.0,4.845,9.69
1306,885,MAXNORTH TINTA ECO BRANCO NEVE 18LT,1.0,119.76,119.76
1306,1398,CAIXA DE CARTA 1/2 TIJ 23X16X12 GRAD/MUR (887),1.0,49.94,49.94
1306,967,TANQUE PLASTICO 55X47X31 34L BRANCO - ASTRA,1.0,125.0,125.0
1306,225,CAIXA DE LUZ 4X2 TRAMONTINA AM,2.0,2.58,5.16
1307,2157,"DISCO DE CORTE FERRO 4.1/2""X 1.0MM MELFI",2.0,3.125,6.25
1308,214,BUCHA PLAST 08MM C/ ANEL,40.0,0.11,4.4
1308,2292,PARAFUSO FLANGEADO PHILLIPS ZINC 4.2MM X 13MM,25.0,0.14,3.5
1308,940,PARAF MAD PHIL CHATA CHIP 5;0X60MM % - CISER,10.0,0.58,5.8
1309,1888,FITA DUPLA FACE ACRIL 12MMX2M,1.0,6.75,6.75
1312,152,"FERRO 8MM 4,7KG 12MT",4.0,48.403,193.61
1312,153,"FERRO 4,2MM 1,3KG 12MT",5.0,17.266,86.33
1315,1521,TUBOZAN JOELHO 90 ESGOTO 40,6.0,2.881,17.29
1315,1534,TUBOZAN BUCHA REDUCAO ESGOTO 50 X 40,2.0,4.45,8.9
1315,1491,TUBOZAN ADES. PLAST. P/ TUBOS PVC 175,1.0,18.62,18.62
1315,1641,TUBOZAN CAIXA SIF QUAD 100 X 100 X 50,2.0,25.9,51.8
1315,1496,TUBOZAN TUBO ESGOTO 40 SN  6M,2.0,36.113,72.23
1315,722,CIMENTO ITAU 50KG,8.0,45.9,367.2
1315,635,CAL HIDRATADA CH III 20 KG,4.0,18.89,75.56
1316,1979,TELA POP LEVE 2X3M FERRO 3X4 (20X20),10.0,60.89,608.9
1316,1966,"TELA POP 4,2  2X3M (15X15)",5.0,172.16,860.8
1316,805,PREGO C/CABECA 17X27,5.0,24.9,124.5
1316,1054,AMANCO  ELETRODUTO CORRUGADO 32X25M,25.0,6.31,157.75
1316,1061,AMANCO ELETRODUTO CORRUGADO 25X50M,250.0,3.458,864.5
1316,1966,"TELA POP 4,2  2X3M (15X15)",3.0,172.16,516.48
1316,773,"FIO BOBINA 10,0 AZUL",263.0,9.6,2524.8
1317,722,CIMENTO ITAU 50KG,10.0,45.34,453.4
1317,635,CAL HIDRATADA CH III 20 KG,10.0,18.66,186.6
1318,354,LUVA SOLD 25MM,3.0,1.523,4.57
1318,176,ADESIVO PLAST 17G,1.0,2.98,2.98
1318,317,KRONA JOELHO SOLD 90X25MM,1.0,1.45,1.45
1319,153,"FERRO 4,2MM 1,3KG 12MT",5.0,15.9,79.5
1319,152,"FERRO 8MM 4,7KG 12MT",4.0,45.9,183.6
1319,1335,"TRELICA TG8L 6/4,2/4,2MM 12M",4.0,99.9,399.6
1319,1334,"TRELICA TG12L  6/5/4,2MM 12M",4.0,165.0,660.0
1320,635,CAL HIDRATADA CH III 20 KG,20.0,18.89,377.8
1320,812,GESCALITE 5L,1.0,50.0,50.0
1320,969,TECPLUS TOP CX 18KG - QUARTZOLIT,1.0,69.9,69.9
1321,481,KRONA VALV LAVAT/PIA LONGA  7/8  PL S/LAD,1.0,6.1,6.1
1321,1659,AMANCO SIFAO EXTENSIVEL BR UNIV,1.0,13.47,13.47
1321,966,SIFAO SANFONADO UNIVERSAL BR - HERC,1.0,5.06,5.06
1321,1432,VALVULA  P/PIA AMERICANA 3.1/2 1623 LATAO,1.0,71.87,71.87
1322,761,PEDRISCO N 00,2.0,145.0,290.0
1322,763,AREIA MEDIA,3.0,69.9,209.7
1322,1404,COLUNA 8.0MM 4.2MM 28 EST - 7X14,5.0,128.9,644.5
1323,58,CARRINHO DE MAO 45L PRETO MAESTRO,1.0,190.0,190.0
1323,472,THINNER 900ML NATRIELLI,1.0,15.85,15.85
1323,665,"TINTA ESMALTE IMOB BRANCO 3,6LT",1.0,88.6,88.6
1325,947,PARAF SX R SOBERBA ZINC 1/4 X60MM - CISER,4.0,1.188,4.75
1325,631,BUCHA PLAST FIXACAO C/ANEL N. 10,4.0,0.2,0.8
1327,909,ESPACADOR NIVELADOR 1MM 50PCS - CORTAG,3.0,19.3333333,58.0
1328,331,LINHA PEDREIRO FIO 0.8 100M LARANJA,2.0,19.41,38.82
1328,550,ADESIVO INST 20G TEKBOND,1.0,14.86,14.86
1329,722,CIMENTO ITAU 50KG,4.0,45.75,183.0
1329,635,CAL HIDRATADA CH III 20 KG,2.0,18.89,37.78
1330,722,CIMENTO ITAU 50KG,10.0,45.9,459.0
1330,635,CAL HIDRATADA CH III 20 KG,1.0,18.89,18.89
1330,153,"FERRO 4,2MM 1,3KG 12MT",2.0,17.8,35.6
1331,805,PREGO C/CABECA 17X27,2.0,26.0,52.0
1333,898,CILINDRO FECHADURA 803 CR - STAM,1.0,26.0,26.0
1335,722,CIMENTO ITAU 50KG,4.0,45.9,183.6
1336,153,"FERRO 4,2MM 1,3KG 12MT",1.0,17.27,17.27
1336,157,"FERRO 5MM 1,88KG 12MT",1.0,24.89,24.89
1336,316,KRONA JOELHO SOLD 90X20MM,3.0,1.0,3.0
1337,722,CIMENTO ITAU 50KG,1.0,45.9,45.9
1338,366,OCULOS PROT. LEOPARDO CINZA,1.0,8.0,8.0
1338,749,CHAPEU PEPPI 3,1.0,30.0,30.0
1340,1221,BOTINA COURO N41 BI ELASTICO C/BIQ PLAST - WORKER,1.0,68.0,68.0
1340,1194,AMANCO FITA VEDA ROSCA 18MM X 25M,1.0,10.8,10.8
1341,2033,LIXA D AGUA GR400 225X275 - WORKER,1.0,1.5,1.5
1341,2034,LIXA D AGUA GR600 225X275 - WORKER,1.0,1.85,1.85
1342,635,CAL HIDRATADA CH III 20 KG,1.0,18.89,18.89
1346,267,DISCO DE CORTE INOX 115MMX4.1/2,2.0,3.28,6.56
1347,1748,203 COTURNO ADVENT ZEUS COBRE 39,1.0,130.0,130.0
1350,1123,AMANCO UNIAO INT 1 LJ CB,1.0,9.22,9.22
1350,1265,CONEXAO MANG UNIAO 1X3/4 REDUCAO AZUL - LIEGE,1.0,4.94,4.94
1350,1259,CONEXAO MANG TE INTERNO AZUL - LIEGE,1.0,8.57,8.57
1350,1249,CONEXAO MANG ADAPTAD 1ROSCA EXT AZUL - LIEGE,1.0,2.54,2.54
1350,55,VAP VASSOURA JARDIM REG 18D C/CB,1.0,36.27,36.27
1350,2209,"ABRACADEIRA RSF 9MM 3/4"" A 1.1/16"" 19-27 - METALMATRIX",6.0,2.318,13.91
1351,2189,VEDACIT 3.6L,1.0,70.23,70.23
